user,item,rating,timestamp
755,319,3,882569801
755,688,3,882570077
755,259,3,882570140
755,311,4,882569771
755,881,1,882569732
755,299,2,882569732
755,887,3,882569845
755,288,1,882569771
755,340,1,882569732
755,322,3,882569912
755,269,5,882569604
755,875,1,882570023
755,538,4,882570023
755,302,4,882569771
755,690,5,882569574
755,301,3,882569771
755,328,4,882569881
755,300,4,882569574
755,310,4,882569604
755,343,3,882570077
755,289,1,882569912
755,331,3,882569771
755,264,2,882570077
755,872,1,882569844
755,258,5,882569732
755,323,4,882570077
755,937,4,882569604
755,689,3,882570077
755,748,4,882570141
755,938,3,882570023
755,294,3,882569574
755,879,4,882569844
755,327,2,882569801
755,245,4,882569881
755,286,5,882569670
755,271,1,882570023
755,304,4,882569881
755,880,4,882569732
756,930,3,874830344
756,66,4,874829705
756,176,4,874828826
756,171,4,874827062
756,527,3,874828242
756,554,1,874829152
756,742,3,874830026
756,100,5,874831383
756,568,3,874828903
756,195,3,874828967
756,258,3,874826502
756,860,1,874830068
756,245,3,874832096
756,473,3,874829296
756,402,4,874831383
756,121,3,874829152
756,123,2,874830344
756,432,4,874829258
756,1031,2,874830819
756,79,4,874829990
756,226,3,874830103
756,143,5,874831383
756,1,4,874826629
756,642,2,874829924
756,409,2,874830998
756,155,4,874829637
756,141,3,874831227
756,97,3,874829484
756,323,3,874832096
756,151,4,874830550
756,404,3,874830908
756,92,3,874828027
756,603,5,874831383
756,96,4,874828640
756,755,3,874830598
756,99,3,874829258
756,1074,4,874831383
756,135,2,874827884
756,181,4,874831383
756,122,1,874831227
756,53,3,874830432
756,147,4,874828826
756,423,3,874830675
756,739,4,874829743
756,919,5,874831383
756,82,3,874830748
756,1274,2,874828278
756,256,4,874827486
756,383,3,874831050
756,178,5,874831383
756,159,4,874829924
756,63,3,874830908
756,731,3,874827920
756,325,3,874832132
756,420,4,874829373
756,222,2,874828967
756,501,3,874829296
756,197,2,874829446
756,235,3,874827755
756,983,2,874830305
756,118,2,874828967
756,228,3,874828640
756,3,1,874829174
756,435,3,874832788
756,173,3,874826565
756,1149,5,874827023
756,71,3,874828391
756,1009,4,874827247
756,588,4,874829258
756,753,2,874832788
756,161,3,874831194
756,398,3,874831050
756,234,3,874829924
756,550,2,874829152
756,1119,4,874828349
756,138,2,874830864
756,275,3,874827103
756,289,4,874828027
756,1060,4,874831383
756,403,2,874828826
756,566,4,874830168
756,274,3,874829637
756,30,4,874827283
756,9,2,874828453
756,111,4,874829670
756,225,1,874830864
756,183,4,874831383
756,591,4,874829924
756,117,4,874828826
756,1240,4,874829333
756,91,3,874830954
756,418,3,874829333
756,421,4,874829637
756,1652,1,874828198
756,399,2,874828967
756,367,4,874827614
756,95,3,874829258
756,55,5,875129318
756,230,3,874829010
756,300,4,874826502
756,8,4,874827755
756,419,3,874830513
756,89,4,874828769
756,622,3,874830790
756,22,3,874828592
756,210,4,874828902
756,88,1,874829743
756,50,4,874828592
756,251,4,875129238
757,151,4,888444684
757,68,4,888466435
757,98,4,888445767
757,742,4,888444563
757,550,3,888445820
757,746,3,888468435
757,2,3,888466490
757,11,4,888466583
757,554,3,888466683
757,143,3,888468693
757,122,1,888445218
757,827,3,888466758
757,62,3,888466758
757,95,4,888467270
757,29,2,888466683
757,193,4,888445521
757,684,4,888445864
757,809,4,888466758
757,248,4,888444209
